Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
6e653a1c-7b1f-4901-b69a-783ad2f1d932,"2020-05-27, 07:10:05 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:210661980594:trail/Udacity_Trail""}]",,us-east-1,,73.250.164.253
a17c2be5-c6ee-47be-ae94-3101a18801b5,"2020-05-27, 07:10:05 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:210661980594:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-log-cmt""}]",,us-east-1,,73.250.164.253
e1352e64-f68a-4f2e-9086-b4c1bf16f9cc,"2020-05-27, 07:10:05 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,73.250.164.253
78721d4e-6177-4680-918c-6e75d60acb4d,"2020-05-27, 07:10:04 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-log-cmt""}]",,us-east-1,,73.250.164.253
f6162ce3-1d79-4929-b1d5-70ec704e0674,"2020-05-27, 07:10:04 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-log-cmt""}]",,us-east-1,,73.250.164.253
3219e5a5-f64c-4ce5-88b1-5ba8e030a20c,"2020-05-27, 07:07:33 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
40b7af26-f4d4-47f5-8449-fc92fa664857,"2020-05-27, 07:07:19 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,73.250.164.253
3348ea80-02bf-407e-a0a8-a2a1df94de71,"2020-05-27, 07:06:08 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,73.250.164.253
93a3cfad-3aae-4a4f-9f6f-a3453ac691e2,"2020-05-27, 07:06:08 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,73.250.164.253
d6241480-752a-4b2e-b949-29164b942f04,"2020-05-27, 07:06:07 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATCDDOXGZBUAFVAXC7""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::210661980594:user/Accountant""}]",,us-east-1,,73.250.164.253
37e03611-7ed6-4b7b-949c-bc0b896d20a0,"2020-05-27, 07:05:34 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,73.250.164.253
3f4ca9e2-515b-49bd-9977-f0f54e5e6522,"2020-05-27, 07:05:33 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,73.250.164.253
cae7e9e7-2b3c-476d-acf1-231c17ee347f,"2020-05-27, 07:05:33 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::210661980594:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATCDDOXGZJ3WHFHORH""}]",,us-east-1,,73.250.164.253
